Date,Close
Mar 2020,34.93
Feb 2020,44.53
Jan 2020,43.37
Dec 2019,27.89
Nov 2019,22.0
Oct 2019,20.99
Sep 2019,16.06
Aug 2019,15.04
Jul 2019,16.11
Jun 2019,14.9
May 2019,12.34
Apr 2019,15.91
Mar 2019,18.66
Feb 2019,21.33
Jan 2019,20.47
Dec 2018,22.19
Nov 2018,23.37
Oct 2018,22.49
Sep 2018,17.65
Aug 2018,20.11
Jul 2018,19.88
Jun 2018,22.86
May 2018,18.98
Apr 2018,19.59
Mar 2018,17.74
Feb 2018,22.87
Jan 2018,23.62
Dec 2017,20.76
Nov 2017,20.59
Oct 2017,22.1
Sep 2017,22.74
Aug 2017,23.73
Jul 2017,21.56
Jun 2017,24.11
May 2017,22.73
Apr 2017,20.94
Mar 2017,18.55
