Date,Close
Mar 2020,44.0
Feb 2020,52.84
Jan 2020,51.8
Dec 2019,50.05
Nov 2019,50.43
Oct 2019,44.23
Sep 2019,42.89
Aug 2019,44.32
Jul 2019,48.46
Jun 2019,47.98
May 2019,40.73
Apr 2019,47.22
Mar 2019,46.73
Feb 2019,46.56
Jan 2019,43.05
Dec 2018,37.19
Nov 2018,44.45
Oct 2018,42.58
Sep 2018,47.34
Aug 2018,49.7
Jul 2018,44.55
Jun 2018,44.98
May 2018,43.48
Apr 2018,39.09
Mar 2018,39.07
Feb 2018,40.91
Jan 2018,41.24
Dec 2017,37.08
Nov 2017,37.2
Oct 2017,35.51
Sep 2017,34.29
Aug 2017,34.14
Jul 2017,29.62
Jun 2017,28.95
May 2017,28.35
Apr 2017,25.17
Mar 2017,23.96
