Date,Close
Mar 2020,117.14
Feb 2020,131.97
Jan 2020,137.57
Dec 2019,141.41
Nov 2019,132.91
Oct 2019,127.49
Sep 2019,119.13
Aug 2019,114.42
Jul 2019,117.09
Jun 2019,110.18
May 2019,98.23
Apr 2019,116.25
Mar 2019,106.33
Feb 2019,103.33
Jan 2019,96.59
Dec 2018,87.28
Nov 2018,96.75
Oct 2018,93.46
Sep 2018,106.45
Aug 2018,108.94
Jul 2018,105.89
Jun 2018,102.67
May 2018,107.19
Apr 2018,97.16
Mar 2018,104.28
Feb 2018,106.54
Jan 2018,106.51
Dec 2017,97.81
Nov 2017,100.25
Oct 2017,101.61
Sep 2017,93.32
Aug 2017,88.58
Jul 2017,85.84
Jun 2017,81.86
May 2017,85.99
Apr 2017,79.7
Mar 2017,79.71
