Date,Close
Mar 2020,148.05
Feb 2020,148.38
Jan 2020,149.33
Dec 2019,142.9
Nov 2019,137.86
Oct 2019,142.43
Sep 2019,138.87
Aug 2019,143.75
Jul 2019,133.21
Jun 2019,133.2
May 2019,123.33
Apr 2019,121.2
Mar 2019,122.01
Feb 2019,123.99
Jan 2019,124.75
Dec 2018,121.25
Nov 2018,115.54
Oct 2018,115.15
Sep 2018,112.76
Aug 2018,113.51
Jul 2018,115.99
Jun 2018,118.65
May 2018,123.1
Apr 2018,124.59
Mar 2018,125.79
Feb 2018,125.0
Jan 2018,127.65
Dec 2017,123.65
Nov 2017,121.1
Oct 2017,120.67
Sep 2017,121.58
Aug 2017,125.82
Jul 2017,120.75
Jun 2017,118.02
May 2017,120.62
Apr 2017,120.77
Mar 2017,118.72
