Date,Close
Mar 2018,29.1
Feb 2018,30.78
Jan 2018,33.84
Dec 2017,30.84
Nov 2017,27.36
Oct 2017,27.81
Sep 2017,28.38
Aug 2017,30.81
Jul 2017,30.54
Jun 2017,30.33
May 2017,27.69
Apr 2017,25.71
Mar 2017,23.88
Feb 2017,23.13
Jan 2017,22.71
Dec 2016,23.37
Nov 2016,23.79
Oct 2016,21.84
Sep 2016,21.54
Aug 2016,22.05
Jul 2016,22.53
Jun 2016,21.69
May 2016,25.23
Apr 2016,23.55
Mar 2016,22.59
Feb 2016,19.35
Jan 2016,21.21
Dec 2015,23.88
Nov 2015,26.13
Oct 2015,31.5
Sep 2015,28.83
Aug 2015,27.6
Jul 2015,29.31
Jun 2015,30.18
May 2015,36.54
Apr 2015,37.08
Mar 2015,33.06
