Date,Close
Mar 2018,104.28
Feb 2018,106.54
Jan 2018,106.51
Dec 2017,97.81
Nov 2017,100.25
Oct 2017,101.61
Sep 2017,93.32
Aug 2017,88.58
Jul 2017,85.84
Jun 2017,81.86
May 2017,85.99
Apr 2017,79.7
Mar 2017,79.71
Feb 2017,76.39
Jan 2017,74.44
Dec 2016,71.64
Nov 2016,71.06
Oct 2016,68.27
Sep 2016,69.47
Aug 2016,66.21
Jul 2016,63.5
Jun 2016,57.01
May 2016,56.9
Apr 2016,52.46
Mar 2016,55.08
Feb 2016,50.43
Jan 2016,49.72
Dec 2015,53.28
Nov 2015,55.8
Oct 2015,54.21
Sep 2015,49.88
Aug 2015,49.55
Jul 2015,52.15
Jun 2015,54.57
May 2015,59.81
Apr 2015,55.46
Mar 2015,55.3
