Date,Close
Mar 2018,125.79
Feb 2018,125.0
Jan 2018,127.65
Dec 2017,123.65
Nov 2017,121.1
Oct 2017,120.67
Sep 2017,121.58
Aug 2017,125.82
Jul 2017,120.75
Jun 2017,118.02
May 2017,120.62
Apr 2017,120.77
Mar 2017,118.72
Feb 2017,119.23
Jan 2017,115.55
Dec 2016,109.61
Nov 2016,111.75
Oct 2016,121.94
Sep 2016,125.64
Aug 2016,124.78
Jul 2016,128.98
Jun 2016,126.47
May 2016,116.06
Apr 2016,123.65
Mar 2016,117.64
Feb 2016,118.64
Jan 2016,106.95
Dec 2015,101.46
Nov 2015,101.92
Oct 2015,109.3
Sep 2015,106.86
Aug 2015,108.82
Jul 2015,104.93
Jun 2015,112.37
May 2015,114.1
Apr 2015,113.47
Mar 2015,113.66
