Date,Close
Mar 2018,15.41
Feb 2018,15.46
Jan 2018,16.35
Dec 2017,15.99
Nov 2017,15.51
Oct 2017,15.79
Sep 2017,15.74
Aug 2017,16.65
Jul 2017,15.9
Jun 2017,15.71
May 2017,16.39
Apr 2017,16.3
Mar 2017,17.25
Feb 2017,17.37
Jan 2017,16.63
Dec 2016,15.11
Nov 2016,15.66
Oct 2016,16.97
Sep 2016,18.2
Aug 2016,17.72
Jul 2016,19.35
Jun 2016,17.86
May 2016,15.19
Apr 2016,16.98
Mar 2016,14.68
Feb 2016,14.2
Jan 2016,13.59
Dec 2015,13.19
Nov 2015,13.44
Oct 2015,14.8
Sep 2015,13.87
Aug 2015,13.99
Jul 2015,14.08
Jun 2015,15.03
May 2015,15.99
Apr 2015,15.43
Mar 2015,15.93
